procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0     0 1310 1463  1  4 95  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  419  218  0  0 100  0  0
 2  0      0 4539536  44636 4426772    0    0     0    24  457  243  0  1 98  1  0
 1  0      0 4539536  44636 4426772    0    0     0     0  405  190  0  0 100  0  0
11  0      0 4539536  44636 4426772    0    0     0    44  379  224  0  2 96  2  0
 1  0      0 4539536  44636 4426772    0    0     0   236  666  740  0  1 99  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  411  270  1  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     8  508  379  1  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0   180    16  579  369  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  356  177  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0    28     0 1838 1998  1  4 95  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  337  166  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  347  204  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    80  378  225  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0     0  541  415  2  0 97  0  0
 1  0      0 4539536  44636 4426772    0    0     0   264  423  254  0  0 99  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  425  316  1  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  991  719  0  4 96  0  0
 1  0      0 4539536  44636 4426772    0    0     0   184 1207 1067  2  1 97  0  0
 1  0      0 4539536  44636 4426772    0    0     0    88  782  417  1  0 99  0  0
 2  0      0 4539536  44636 4426772    0    0     4     0 1017  594  2  5 93  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1929 1972  1  3 96  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  795  430  1  4 96  0  0
 3  0      0 4539536  44636 4426772    0    0 13572     0 2888 2995  1  2 90  8  0
 2  0      0 4539536  44636 4426772    0    0 20400     0 3633 4426  1  2 90  7  0
 1  1      0 4539536  44636 4426772    0    0 22160   480 3291 3046  0  1 91  8  0
 1  1      0 4539536  44636 4426772    0    0 19280     0 2839 2612  0  1 91  8  0
 1  0      0 4539536  44636 4426772    0    0  7104    12 1377 1160  0  0 97  3  0
 1  0      0 4539536  44636 4426772    0    0     0     0  371  203  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  347  178  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    56  546  404  2  0 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1939 2073  2  7 91  0  0
 1  0      0 4539536  44636 4426772    0    0     0   340  457  253  0  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  544  517  2  0 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  483  323  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0     0  955  762  1  1 97  0  0
